year,source id,target id
1999,9909133,9811241
1997,9702110,9410212
1995,9510041,9210121
1997,9703036,9611090
1997,9610162,9609159
1999,9905085,9803171
1993,9303003,9202046
1996,9604189,9601152
1996,9601175,9507050
1998,9801084,9705128
1998,9809104,9601116
1997,9703138,9603081
1996,9609181,9604168
1997,9701137,9606165
1996,9607051,9401006
1996,9608169,9409009
1997,9709113,9608015
1995,9505073,9207053
1999,9811217,9802202
1998,9805083,9510182
1999,9908147,9808101
1997,9704118,9208007
1998,9803189,9602052
1999,9812028,9609070
1997,9707014,9610043
1999,9902184,9801052
1998,9802168,9709193
1996,9607210,9505051
1999,9910090,9902055
1995,9509147,9509142
1995,9512026,9304087
1995,9511230,9511204
1998,9803117,9612115
1995,9501042,9310042
1999,9903214,9203018
1999,9903029,9812163
1999,9902118,9603167
1998,9804156,9309027
1993,9307166,9304026
1999,9904056,9812016
1996,9605199,9602022
1998,9804072,9501093
1997,9711102,9703051
1999,9903242,9708134
1998,9811195,9408155
1998,9805129,9804175
1997,9703121,9410064
1998,9812143,9805191
1995,9503017,9205041
1996,9612192,9612121
1995,9512062,9503124
1998,9805207,9703031
1999,9910045,9503094
1999,9902059,9404039
1997,9610138,9603142
1992,9211011,9203054
1999,9908064,9603097
1998,9804208,9607019
1997,9701085,9401139
1998,9803260,9606139
1996,9611094,9601177
1998,9806044,9804110
1997,9703159,9607021
1995,9504068,9412113
1997,9709160,9510200
1998,9807071,9805018
1999,9909102,9809027
1999,9906187,9205089
1995,9502084,9206020
1998,9803069,9702014
1999,9906122,9902187
1999,9905174,9704195
1998,9808112,9703015
1998,9804095,9703216
1995,9512165,9507113
1994,9407110,9302076
1998,9808056,9505162
1999,9909212,9606086
1996,9606066,9503217
1997,9710201,9602022
1997,9701149,9309143
1998,9802153,9512059
1997,9703110,9702107
1994,9405007,9303147
1997,9705119,9508148
1998,9805106,9509161
1998,9801157,9508002
1997,9703156,9602051
1996,9607105,9606165
1996,9602118,9510142
1998,9803077,9803013
1998,9806157,9504143
1998,9808169,9606102
1994,9406056,9208031
1997,9708113,9608135
1998,9806140,9503182
1999,9901164,9211059
1994,9408112,9310159
1998,9801207,9706110
1998,9803004,9611050
1998,9801144,9604004
1997,9706145,9407087
1997,9710110,9609212
1994,9404040,9202057
1998,9805209,9704120
1998,9804104,9709193
1998,9806036,9804064
1996,9611113,9510003
1998,9804167,9706078
1998,9711096,9609174
1996,9609151,9601057
1998,9801032,9711143
1995,9508143,9503124
1999,9909227,9810219
1999,9906246,9602070
1997,9701120,9411149
1995,9504129,9205068
1995,9504112,9307088
1996,9607201,9504027
1997,9701123,9601168
1998,9802051,9710046
1999,9907158,9903190
1994,9403190,9401135
1997,9702193,9401105
1998,9803166,9801147
1998,9812190,9503002
1999,9905200,9903091
1998,9804166,9405124
1998,9803193,9803002
1997,9705111,9603081
1999,9909166,9407105
1999,9902005,9712211
1996,9606009,9409111
1999,9909048,9906064
1996,9606094,9505017
1998,9803259,9803206
1995,9503120,9502074
1999,9905111,9607235
1996,9610042,9509132
1997,9707143,9706171
1998,9806037,9204083
1995,9509062,9404089
1998,9808132,9310150
1999,9906048,9607149
1997,9709206,9703211
1999,9908092,9903128
1996,9601003,9512077
1995,9509012,9306147
1997,9710104,9611215
1999,9906187,9812073
1998,9801147,9603167
1998,9803245,9606046
1998,9803103,9601177
1998,9802151,9707158
1998,9810243,9701093
1999,9812030,9805175
1999,9811025,9709027
1999,9908109,9901149
1996,9611186,9609071
1994,9409125,9206096
1997,9703047,9611050
1996,9611197,9609230
1997,9704134,9703030
1998,9806129,9604097
1998,9808183,9709123
1998,9712257,9712186
1995,9511214,9408089
1997,9712206,9712090
1998,9810098,9707235
1998,9809039,9704054
1998,9808100,9506126
1997,9612014,9608173
1997,9709087,9702099
1995,9501011,9205015
1999,9908110,9206004
1994,9406085,9403108
1994,9412187,9307029
1995,9504027,9503228
1996,9603061,9410104
1994,9412215,9404107
1995,9511204,9507121
1997,9704133,9703224
1997,9707022,9510234
1998,9806008,9604129
1997,9702093,9603097
1996,9610224,9607161
1998,9812014,9711009
1998,9809064,9711151
1999,9902116,9702173
1997,9712084,9710136
1998,9712115,9609217
1997,9702186,9306014
1998,9807067,9203071
1999,9906090,9811035
1997,9701175,9503124
1999,9910156,9303160
1996,9609056,9604166
1999,9906018,9604077
1999,9911003,9903224
1998,9804206,9703154
1998,9809064,9508153
1994,9412224,9206020
1999,9906234,9906090
1997,9704123,9703102
